Gene,n_en_student_p_value,en_c_student_p_value,n_en_permutation_p_value,en_c_permutation_p_value
BSDC1,0.45056611357855225,0.08884630236992064,0.4507,0.0817
ZBTB8A,0.24141335977930395,0.18637038613696455,0.2432,0.181
ZBTB8OS,0.261504852160019,0.6606750655007914,0.2739,0.6546
RBBP4,0.7322562835140846,0.1329889856004292,0.7356,0.1319
SYNC,0.5069179471093977,0.5819727230181555,0.503,0.5858
KIAA1522,0.05483955243615195,0.6179565869104879,0.0561,0.6146
YARS,0.972015602605788,0.01871805525673759,0.9723,0.0182
S100PBP,0.16968759253274043,0.3295031933417417,0.1746,0.3279
FNDC5,0.01254529215165692,0.5239456286003419,0.0128,0.5224
HPCA,0.3246500820730166,0.46615084503280146,0.3227,0.4475
TMEM54,0.11521407335758402,0.15853017408964626,0.1205,0.1505
RNF19B,0.3685738570510667,0.02853455778556581,0.3661,0.0302
AK2,0.3675958149884513,0.48774984372141883,0.3706,0.4842
ADC,0.2350733838956312,0.04577691467513531,0.2331,0.0424
TRIM62,0.0499822057978017,0.5305514374626539,0.0525,0.5261
ZNF362,0.6582973368495881,0.9742470084958386,0.6609,0.9725
PHC2,0.8615969210319697,0.8882782872567045,0.8604,0.8868
ZSCAN20,0.591629080406433,0.8422155044690135,0.6074,0.8478
